User,CaseStatus,DokumentType,Parent,Creator,Action,Access
ROL,FULLFOERT,JOURNALFOERT,SMART_DOCUMENT,NONE,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,JOURNALFOERT,SMART_DOCUMENT,NONE,REMOVE,ROL_USER
ROL,FULLFOERT,JOURNALFOERT,SMART_DOCUMENT,NONE,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,JOURNALFOERT,SMART_DOCUMENT,NONE,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,RENAME,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,WRITE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,CREATE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,RENAME,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_ROL,WRITE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,RENAME,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,WRITE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,NONE,CHANGE_TYPE,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,NONE,FINISH,NOT_SUPPORTED_ROL_ANSWERS
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,NONE,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,NONE,RENAME,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_ANSWERS,ROL_QUESTIONS,NONE,WRITE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ROL_QUESTIONS
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,FINISH,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,RENAME,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_MEDUNDERSKRIVER,WRITE,NOT_ASSIGNED_OR_MU
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_ROL,CHANGE_TYPE,NOT_SUPPORTED_ROL_QUESTIONS
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_ROL,CREATE,NOT_SUPPORTED_FINISHED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_ROL,FINISH,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_ROL,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_ROL,RENAME,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_ROL,WRITE,NOT_ASSIGNED_OR_MU
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_SAKSBEHANDLING,CHANGE_TYPE,NOT_SUPPORTED_ROL_QUESTIONS
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_SAKSBEHANDLING,FINISH,NOT_ASSIGNED
